packet_length,packet_frame_len,source_ip,destination_ip,source_port,destination_port,received_time,time_difference,ttl,protocol
44,44,10.0.0.1,10.0.0.9,45714,9564,2023-06-15 13:07:19,0,64,17
44,44,10.0.0.5,10.0.0.9,55881,9564,2023-06-15 13:07:19,0,64,17
44,44,10.0.0.4,10.0.0.9,52955,9564,2023-06-15 13:07:19,0,64,17
44,44,10.0.0.7,10.0.0.9,38413,9564,2023-06-15 13:07:19,0,64,17
44,44,10.0.0.6,10.0.0.9,52629,9564,2023-06-15 13:07:19,0,64,17
44,44,10.0.0.3,10.0.0.9,47177,9564,2023-06-15 13:07:20,1,64,17
44,44,10.0.0.10,10.0.0.9,54888,9564,2023-06-15 13:07:20,0,64,17
44,44,10.0.0.8,10.0.0.9,39095,9564,2023-06-15 13:07:20,0,64,17
44,44,10.0.0.9,10.0.0.1,54436,9564,2023-06-15 13:07:21,1,64,17
44,44,10.0.0.9,10.0.0.2,54436,9564,2023-06-15 13:07:21,0,64,17
44,44,10.0.0.9,10.0.0.3,54436,9564,2023-06-15 13:07:21,0,64,17
44,44,10.0.0.9,10.0.0.4,54436,9564,2023-06-15 13:07:21,0,64,17
44,44,10.0.0.9,10.0.0.5,54436,9564,2023-06-15 13:07:21,0,64,17
44,44,10.0.0.9,10.0.0.6,54436,9564,2023-06-15 13:07:21,0,64,17
44,44,10.0.0.9,10.0.0.7,54436,9564,2023-06-15 13:07:21,0,64,17
44,44,10.0.0.9,10.0.0.8,54436,9564,2023-06-15 13:07:21,0,64,17
44,44,10.0.0.9,10.0.0.10,54436,9564,2023-06-15 13:07:21,0,64,17
44,44,10.0.0.9,10.0.0.9,54436,9564,2023-06-15 13:07:21,,64,17
44,44,10.0.0.2,10.0.0.9,54990,9564,2023-06-15 13:07:24,3,64,17
43,43,10.0.0.21,10.0.0.9,39238,9564,2023-06-15 13:07:24,0,64,17
44,44,10.0.0.1,10.0.0.9,45714,9564,2023-06-15 13:07:24,0,64,17
44,44,10.0.0.5,10.0.0.9,55881,9564,2023-06-15 13:07:24,0,64,17
44,44,10.0.0.4,10.0.0.9,52955,9564,2023-06-15 13:07:24,0,64,17
44,44,10.0.0.6,10.0.0.9,52629,9564,2023-06-15 13:07:24,0,64,17
44,44,10.0.0.7,10.0.0.9,38413,9564,2023-06-15 13:07:24,0,64,17
44,44,10.0.0.3,10.0.0.9,47177,9564,2023-06-15 13:07:25,1,64,17
44,44,10.0.0.10,10.0.0.9,54888,9564,2023-06-15 13:07:25,0,64,17
44,44,10.0.0.8,10.0.0.9,39095,9564,2023-06-15 13:07:25,0,64,17
44,44,10.0.0.9,10.0.0.9,54436,9564,2023-06-15 13:07:26,5,64,17
44,44,10.0.0.9,10.0.0.1,54436,9564,2023-06-15 13:07:26,1,64,17
44,44,10.0.0.9,10.0.0.2,54436,9564,2023-06-15 13:07:26,0,64,17
44,44,10.0.0.9,10.0.0.3,54436,9564,2023-06-15 13:07:26,0,64,17
44,44,10.0.0.9,10.0.0.4,54436,9564,2023-06-15 13:07:26,0,64,17
44,44,10.0.0.9,10.0.0.5,54436,9564,2023-06-15 13:07:26,0,64,17
44,44,10.0.0.9,10.0.0.6,54436,9564,2023-06-15 13:07:26,0,64,17
44,44,10.0.0.9,10.0.0.7,54436,9564,2023-06-15 13:07:26,0,64,17
44,44,10.0.0.9,10.0.0.8,54436,9564,2023-06-15 13:07:26,0,64,17
44,44,10.0.0.9,10.0.0.10,54436,9564,2023-06-15 13:07:26,0,64,17
44,44,10.0.0.2,10.0.0.9,54990,9564,2023-06-15 13:07:29,3,64,17
43,43,10.0.0.21,10.0.0.9,39238,9564,2023-06-15 13:07:29,0,64,17
44,44,10.0.0.1,10.0.0.9,45714,9564,2023-06-15 13:07:29,0,64,17
